Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,
50,150,0,-37,39,,,,
50,150,0,-30,39,,,p,1
50,150,0,-30,40,,,i,0.5
50,150,0,-36,40,,,d,0
50,150,0,-43,39,,,,
50,150,0,-42,40,,,,
50,150,0,-36,40,,,,
50,150,0,-44,40,,,,
50,150,0,-36,40,,,,
50,150,0,-39,40,,,,
50,150,0,-36,40,,,,
50,150,0,-28,40,,,,
50,150,0,-43,39,,,,
50,150,0,-43,40,,,,
50,150,0,-43,39,,,,
50,150,0,-41,39,,,,
50,150,0,-41,39,,,,
50,150,0,-26,30,,,,
50,150,0,-16,16,,,,
50,150,0,-21,10,,,,
50,150,0,-30,9,,,,
50,150,0,-33,8,,,,
50,150,0,-38,7,,,,
50,150,0,-39,7,,,,
50,150,0,-31,3,,,,
50,150,0,-27,1,,,,
50,150,0,-33,1,,,,
50,150,0,-28,1,,,,
50,150,0,-36,0,,,,
50,150,0,-36,0,,,,
50,150,0,-36,0,,,,
50,150,0,-39,0,,,,
50,150,0,-36,0,,,,
50,150,0,-36,0,,,,
50,150,0,-36,0,,,,
50,150,0,-36,0,,,,
50,150,0,-36,0,,,,
50,150,0,-36,0,,,,
50,150,0,-44,0,,,,
50,150,0,-41,0,,,,
50,150,0,-35,0,,,,
50,150,0,-33,1,,,,
50,150,0,-33,5,,,,
50,150,0,-28,6,,,,
50,150,0,-36,6,,,,
50,150,0,-34,6,,,,
50,150,0,-34,7,,,,
50,150,0,-32,5,,,,
50,150,0,-20,-10,,,,
50,150,0,-24,-27,,,,
50,150,0,-22,-35,,,,
50,150,0,-30,-27,,,,
50,150,0,-27,-21,,,,
50,150,0,-35,-18,,,,
50,150,0,-33,-13,,,,
50,150,0,-41,-2,,,,
50,150,0,-30,1,,,,
50,150,0,-28,1,,,,
50,150,0,-20,1,,,,
50,150,0,-23,2,,,,
50,150,0,-38,1,,,,
50,150,0,-36,1,,,,
50,150,0,-38,1,,,,
50,150,0,-41,1,,,,
50,150,0,-33,1,,,,
50,150,0,-31,1,,,,
50,150,0,-22,2,,,,
50,150,0,-22,2,,,,
50,150,0,-30,2,,,,
50,150,0,-38,2,,,,
50,150,0,-41,1,,,,
50,150,0,-36,2,,,,
50,150,0,-28,2,,,,
50,150,0,-25,2,,,,
50,150,0,-36,2,,,,
50,150,0,-30,2,,,,
50,150,0,-40,2,,,,
50,150,0,-36,2,,,,
50,150,0,-35,1,,,,
50,150,0,-39,1,,,,
50,150,0,-35,2,,,,
50,150,0,-28,2,,,,
50,150,0,-33,2,,,,
50,150,0,-31,1,,,,
50,150,0,-36,1,,,,
50,150,0,-35,1,,,,
50,150,0,-35,1,,,,
50,150,0,-31,1,,,,
50,150,0,-24,1,,,,
50,150,0,-22,1,,,,
50,150,0,-24,2,,,,
50,150,0,-24,2,,,,
50,150,0,-13,2,,,,
50,150,0,-19,2,,,,
50,150,0,-13,2,,,,
50,150,0,-9,2,,,,
50,150,0,-8,2,,,,
50,150,0,-8,2,,,,
50,150,0,-8,2,,,,
50,150,0,-14,2,,,,
50,150,0,-12,2,,,,
50,150,0,-14,2,,,,
50,150,0,-16,2,,,,
50,150,0,-13,2,,,,
50,150,0,-10,2,,,,
50,150,0,-10,2,,,,
50,150,0,-13,2,,,,
50,150,0,-16,2,,,,
50,150,0,-16,2,,,,
50,150,0,-20,2,,,,
50,150,0,-21,2,,,,
50,150,0,-21,1,,,,
50,150,0,-18,2,,,,
50,150,0,-7,2,,,,
50,150,0,-10,2,,,,
50,150,0,-11,2,,,,
50,150,0,-20,2,,,,
50,150,0,-18,2,,,,
50,150,0,-17,2,,,,
50,150,0,-12,2,,,,
50,150,0,-8,2,,,,
50,150,0,-9,2,,,,
50,150,0,-9,2,,,,
50,150,0,-16,2,,,,
50,150,0,-14,2,,,,
50,150,0,-12,2,,,,
50,150,0,-14,2,,,,
50,150,0,-15,2,,,,
50,150,0,-4,2,,,,
50,150,0,-6,2,,,,
50,150,0,-6,2,,,,
50,150,0,-13,2,,,,
50,150,0,-27,1,,,,
50,150,0,-29,1,,,,
50,150,0,-26,2,,,,
50,150,0,-25,1,,,,
50,150,0,-22,1,,,,
50,150,0,-34,1,,,,
50,150,0,-33,1,,,,
50,150,0,-34,2,,,,
50,150,0,-40,1,,,,
50,150,0,-32,1,,,,
50,150,0,-44,1,,,,
50,150,0,-32,1,,,,
50,150,0,-19,1,,,,
50,150,0,-16,1,,,,
50,150,0,-19,2,,,,
50,150,0,-21,1,,,,
50,150,0,-23,1,,,,
50,150,0,-23,1,,,,
50,150,0,-29,2,,,,
50,150,0,-19,2,,,,
50,150,10,-19,1,,,,
50,150,10,-15,2,,,,
50,150,10,-27,18,,,,
50,150,10,-41,28,,,,
50,150,10,-12,31,,,,
50,150,10,-75,31,,,,
50,150,10,-78,31,,,,
50,150,10,-77,32,,,,
50,150,10,-72,32,,,,
50,150,10,-77,32,,,,
50,150,10,-84,32,,,,
50,150,10,-61,31,,,,
50,150,10,-59,32,,,,
50,150,10,-55,32,,,,
50,150,10,-50,32,,,,
50,150,10,-64,32,,,,
50,150,10,-46,32,,,,
50,150,10,-64,32,,,,
50,150,10,-58,32,,,,
50,150,10,-66,32,,,,
50,150,20,-71,32,,,,
50,150,20,-73,32,,,,
50,150,20,-50,31,,,,
50,150,20,-68,32,,,,
50,150,20,-69,33,,,,
50,150,20,-71,33,,,,
50,150,20,-64,33,,,,
50,150,20,-52,32,,,,
50,150,20,-48,33,,,,
50,150,20,-54,32,,,,
50,150,20,-55,32,,,,
50,150,20,-59,32,,,,
50,150,20,-57,32,,,,
50,150,20,-77,32,,,,
50,150,20,-59,32,,,,
50,150,20,-73,32,,,,
50,150,20,-52,31,,,,
50,150,20,-55,33,,,,
50,150,20,-62,32,,,,
50,150,20,-64,33,,,,
50,150,30,-74,34,,,,
50,150,30,-72,33,,,,
50,150,30,-74,33,,,,
50,150,30,-60,32,,,,
50,150,30,-51,32,,,,
50,150,30,-53,32,,,,
50,150,30,-51,31,,,,
50,150,30,-57,32,,,,
50,150,30,-62,33,,,,
50,150,30,-64,33,,,,
50,150,30,-55,33,,,,
50,150,30,-51,33,,,,
50,150,30,-50,33,,,,
50,150,30,-53,33,,,,
50,150,30,-65,32,,,,
50,150,30,-62,32,,,,
50,150,30,-50,32,,,,
50,150,30,-58,32,,,,
50,150,30,-61,32,,,,
50,150,30,-47,32,,,,
50,150,0,-43,32,,,,
50,150,0,-53,31,,,,
50,150,0,-53,32,,,,
50,150,0,-64,33,,,,
50,150,0,-60,33,,,,
50,150,0,-68,33,,,,
50,150,0,-64,33,,,,
50,150,0,-58,33,,,,
50,150,0,-51,33,,,,
50,150,0,-46,32,,,,
50,150,0,-52,32,,,,
50,150,0,-63,32,,,,
50,150,0,-56,32,,,,
50,150,0,-53,32,,,,
50,150,0,-59,32,,,,
50,150,0,-52,32,,,,
50,150,0,-49,32,,,,
50,150,0,-46,32,,,,
50,150,0,-55,33,,,,
50,150,0,-55,32,,,,
50,150,0,-61,32,,,,
50,150,0,-64,33,,,,
50,150,0,-29,33,,,,
50,150,0,-14,33,,,,
50,150,0,-8,33,,,,
50,150,0,-7,34,,,,
50,150,0,-5,34,,,,
50,150,0,0,34,,,,
50,150,0,-3,34,,,,
50,150,0,-2,34,,,,
50,150,0,-8,34,,,,
50,150,0,-19,34,,,,
50,150,0,-24,34,,,,
50,150,0,-34,34,,,,
50,150,0,-30,34,,,,
50,150,0,-24,34,,,,
50,150,0,-18,34,,,,
50,150,0,-13,34,,,,
50,150,0,-16,34,,,,
50,150,0,-20,34,,,,
50,150,0,-20,34,,,,
50,150,0,-20,34,,,,
50,150,0,-16,34,,,,
50,150,0,-12,34,,,,
50,150,0,-18,34,,,,
50,150,0,-15,34,,,,
50,150,0,-22,34,,,,
50,150,0,-30,34,,,,
50,150,0,-33,34,,,,
50,150,0,-24,34,,,,
50,150,0,-16,35,,,,
50,150,0,-16,34,,,,
50,150,0,-10,34,,,,
