Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,
50,150,0,-27,12,,,
50,150,0,-26,12,,p,1
50,150,0,-27,12,,i,1
50,150,0,-19,13,,d,0
50,150,0,-15,12,,,
50,150,0,-17,12,,,
50,150,0,-16,13,,,
50,150,0,-23,12,,,
50,150,0,-29,12,,,
50,150,0,-31,12,,,
50,150,0,-33,12,,,
50,150,0,-16,12,,,
50,150,0,-14,13,,,
50,150,0,-10,12,,,
50,150,0,-10,12,,,
50,150,0,-17,12,,,
50,150,0,-20,12,,,
50,150,0,-22,12,,,
50,150,0,-30,12,,,
50,150,0,-17,12,,,
50,150,0,-10,12,,,
50,150,0,-15,12,,,
50,150,0,-15,13,,,
50,150,0,-30,12,,,
50,150,0,-33,12,,,
50,150,0,-33,12,,,
50,150,0,-27,12,,,
50,150,0,-18,13,,,
50,150,0,-16,11,,,
50,150,0,-19,10,,,
50,150,0,-18,9,,,
50,150,0,-10,8,,,
50,150,0,-16,9,,,
50,150,0,-17,9,,,
50,150,0,-26,8,,,
50,150,0,-17,8,,,
50,150,0,-15,9,,,
50,150,0,-13,9,,,
50,150,0,-12,8,,,
50,150,0,-14,0,,,
50,150,0,-22,-3,,,
50,150,0,-28,-3,,,
50,150,0,-27,-3,,,
50,150,0,-15,0,,,
50,150,0,-10,2,,,
50,150,0,-14,2,,,
50,150,0,-16,3,,,
50,150,0,-30,1,,,
50,150,0,-28,0,,,
50,150,0,-16,0,,,
50,150,0,-14,0,,,
50,150,0,-12,0,,,
50,150,0,-12,1,,,
50,150,0,-6,1,,,
50,150,0,-1,1,,,
50,150,0,-2,1,,,
50,150,0,-2,0,,,
50,150,0,-6,0,,,
50,150,0,-12,0,,,
50,150,0,-9,1,,,
50,150,0,-9,0,,,
50,150,0,-15,1,,,
50,150,0,-10,1,,,
50,150,0,-10,0,,,
50,150,0,-18,0,,,
50,150,0,-15,0,,,
50,150,0,-12,0,,,
50,150,0,-12,1,,,
50,150,0,-12,1,,,
50,150,0,-12,1,,,
50,150,0,-8,1,,,
50,150,0,-8,0,,,
50,150,0,-15,0,,,
50,150,0,-14,0,,,
50,150,0,-13,1,,,
50,150,0,-10,1,,,
50,150,0,-10,1,,,
50,150,0,-8,0,,,
50,150,0,-8,1,,,
50,150,0,-8,0,,,
50,150,0,-13,1,,,
50,150,0,-13,0,,,
50,150,0,-12,0,,,
50,150,0,-9,1,,,
50,150,0,-7,1,,,
50,150,0,-6,1,,,
50,150,0,-11,0,,,
50,150,0,-14,0,,,
50,150,0,-19,0,,,
50,150,0,-16,0,,,
50,150,0,-16,1,,,
50,150,0,-10,1,,,
50,150,0,-7,0,,,
50,150,0,-5,0,,,
50,150,0,-11,0,,,
50,150,0,-14,0,,,
50,150,0,-9,0,,,
50,150,0,-16,0,,,
50,150,0,-19,0,,,
50,150,0,-20,0,,,
50,150,0,-22,0,,,
50,150,0,-22,0,,,
50,150,0,-26,0,,,
50,150,0,-26,0,,,
50,150,0,-29,0,,,
50,150,0,-28,0,,,
50,150,0,-27,0,,,
50,150,0,-24,0,,,
50,150,0,-20,0,,,
50,150,0,-21,0,,,
50,150,0,-26,0,,,
50,150,0,-33,0,,,
50,150,0,-34,0,,,
50,150,0,-34,0,,,
50,150,0,-27,0,,,
50,150,0,-30,0,,,
50,150,0,-28,0,,,
50,150,0,-19,0,,,
50,150,10,-17,0,,,
50,150,10,-20,1,,,
50,150,10,-39,19,,,
50,150,10,-34,24,,,
50,150,10,-21,10,,,
50,150,10,-73,13,,,
50,150,10,-95,50,,,
50,150,10,-73,19,,,
50,150,10,-43,27,,,
50,150,10,-28,89,,,
50,150,10,-31,17,,,
50,150,10,-877,,,,
50,150,10,-4514,-251,,,
50,150,10,-6432,-334,,,
50,150,10,-7368,-377,,,
50,150,10,-7776,-397,,,
50,150,10,-7941,-405,,,
50,150,10,-8007,-409,,,
50,150,10,-8040,-411,,,
50,150,10,-8058,-411,,,
50,150,20,-8070,-412,,,
50,150,20,-8085,-413,,,
50,150,20,-8096,-413,,,
50,150,20,-8102,-414,,,
50,150,20,-8098,-414,,,
50,150,20,-8093,-414,,,
50,150,20,-8091,-414,,,
50,150,20,-8093,-414,,,
50,150,20,-8103,-414,,,
50,150,20,-8114,-414,,,
50,150,20,-8117,-414,,,
50,150,20,-8120,-415,,,
50,150,20,-8112,-415,,,
50,150,20,-8107,-414,,,
50,150,20,-8102,-414,,,
50,150,20,-8102,-414,,,
50,150,20,-8109,-414,,,
50,150,20,-8115,-415,,,
50,150,20,-8120,-415,,,
50,150,20,-8123,-415,,,
50,150,30,-8124,-415,,,
50,150,30,-8116,-415,,,
50,150,30,-8107,-415,,,
50,150,30,-8111,-415,,,
50,150,30,-8112,-415,,,
50,150,30,-8120,-415,,,
50,150,30,-8124,-415,,,
50,150,30,-8129,-416,,,
50,150,30,-8127,-416,,,
50,150,30,-8127,-415,,,
50,150,30,-8127,-415,,,
50,150,30,-8127,-415,,,
50,150,30,-8128,-416,,,
50,150,30,-8126,-416,,,
50,150,30,-8127,-416,,,
50,150,30,-8126,-416,,,
50,150,30,-8124,-416,,,
50,150,30,-8119,-416,,,
50,150,30,-8114,-415,,,
50,150,30,-8114,-415,,,
