Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2
50.0,0.0,0.0,-34.0,47.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-33.0,46.0
50.0,0.0,0.0,-33.0,46.0
50.0,0.0,0.0,-32.0,46.0
50.0,0.0,0.0,-32.0,46.0
50.0,0.0,0.0,-33.0,46.0
50.0,0.0,0.0,-33.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-33.0,46.0
50.0,0.0,0.0,-33.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
50.0,0.0,0.0,-34.0,46.0
