Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,
50,100,0,-26,0,,P =0.5
50,100,0,-30,0,,I =0
50,100,0,-33,0,,D=0
50,100,0,-19,0,,
50,100,0,-20,0,,
50,100,0,-20,0,,
50,100,0,-28,0,,
50,100,0,-27,0,,
50,100,0,-28,0,,
50,100,0,-20,0,,
50,100,0,-22,0,,
50,100,0,-19,0,,
50,100,0,-20,0,,
50,100,0,-25,0,,
50,100,0,-27,0,,
50,100,0,-18,0,,
50,100,0,-22,0,,
50,100,0,-30,-1,,
50,100,0,-27,0,,
50,100,0,-27,0,,
50,100,0,-19,0,,
50,100,0,-17,0,,
50,100,0,-28,0,,
50,100,0,-33,0,,
50,100,0,-24,0,,
50,100,0,-33,0,,
50,100,0,-25,0,,
50,100,0,-24,0,,
50,100,0,-26,0,,
50,100,0,-21,0,,
50,100,0,-28,0,,
50,100,0,-27,0,,
50,100,0,-34,0,,
50,100,0,-34,0,,
50,100,0,-27,0,,
50,100,0,-22,0,,
50,100,0,-13,0,,
50,100,0,-21,0,,
50,100,0,-22,0,,
50,100,0,-21,0,,
50,100,0,-26,0,,
50,100,0,-29,0,,
50,100,0,-19,0,,
50,100,0,-11,0,,
50,100,0,-17,0,,
50,100,0,-30,0,,
50,100,0,-38,-1,,
50,100,0,-36,-1,,
50,100,0,-39,-1,,
50,100,0,-43,-1,,
50,100,0,-39,-1,,
50,100,0,-40,0,,
50,100,0,-40,0,,
50,100,0,-37,0,,
50,100,0,-43,0,,
50,100,0,-50,0,,
50,100,0,-40,0,,
50,100,0,-29,0,,
50,100,0,-28,0,,
50,100,0,-34,0,,
50,100,0,-39,0,,
50,100,0,-34,0,,
50,100,0,-40,0,,
50,100,0,-43,0,,
50,100,0,-51,0,,
50,100,0,-50,0,,
50,100,0,-44,0,,
50,100,0,-40,-1,,
50,100,0,-31,0,,
50,100,10,-27,0,,
50,100,10,-31,-1,,
50,100,10,-36,3,,
50,100,10,-50,32,,
50,100,10,-47,48,,
50,100,10,-38,53,,
50,100,10,-30,56,,
50,100,10,-31,58,,
50,100,10,-27,58,,
50,100,10,-33,57,,
50,100,10,-30,58,,
50,100,10,-28,58,,
50,100,10,-27,59,,
50,100,10,-15,59,,
50,100,10,-22,57,,
50,100,10,-28,58,,
50,100,10,-29,58,,
50,100,10,-21,57,,
50,100,10,-31,57,,
50,100,10,-36,57,,
50,100,20,-27,56,,
50,100,20,-23,57,,
50,100,20,-12,57,,
50,100,20,-22,57,,
50,100,20,-19,58,,
50,100,20,-25,57,,
50,100,20,-31,56,,
50,100,20,-32,57,,
50,100,20,-28,58,,
50,100,20,-27,58,,
50,100,20,-26,57,,
50,100,20,-15,57,,
50,100,20,-11,57,,
50,100,20,-20,58,,
50,100,20,-30,59,,
50,100,20,-27,58,,
50,100,20,-41,57,,
50,100,20,-37,58,,
50,100,20,-25,57,,
50,100,20,-27,57,,
50,100,30,-27,57,,
50,100,30,-24,57,,
50,100,30,-30,57,,
50,100,30,-28,56,,
50,100,30,-38,56,,
50,100,30,-24,57,,
50,100,30,-27,60,,
50,100,30,-30,58,,
50,100,30,-31,56,,
50,100,30,-28,56,,
50,100,30,-35,56,,
50,100,30,-35,57,,
50,100,30,-30,57,,
50,100,30,-32,57,,
50,100,30,-31,55,,
50,100,30,-32,58,,
50,100,30,-30,56,,
50,100,30,-36,57,,
50,100,30,-41,56,,
50,100,30,-51,55,,
50,100,0,-39,56,,
50,100,0,-37,56,,
50,100,0,-33,55,,
50,100,0,-27,56,,
50,100,0,-36,56,,
50,100,0,-33,56,,
50,100,0,-31,56,,
50,100,0,-37,56,,
50,100,0,-39,56,,
50,100,0,-33,56,,
50,100,0,-33,56,,
50,100,0,-30,56,,
50,100,0,-36,57,,
50,100,0,-33,57,,
50,100,0,-20,56,,
50,100,0,-35,57,,
50,100,0,-19,57,,
50,100,0,-18,57,,
50,100,0,-22,57,,
50,100,0,-23,57,,
50,100,0,-16,57,,
50,100,0,-30,57,,
50,100,0,-35,57,,
50,100,0,-36,57,,
50,100,0,-30,57,,
50,100,0,-36,57,,
50,100,0,-40,57,,
50,100,0,-43,58,,
50,100,0,-39,58,,
50,100,0,-51,57,,
50,100,0,-49,57,,
50,100,0,-44,57,,
50,100,0,-38,57,,
50,100,0,-35,58,,
50,100,0,-39,58,,
50,100,0,-42,57,,
50,100,0,-36,57,,
50,100,0,-44,57,,
50,100,0,-40,57,,
50,100,0,-41,57,,
50,100,0,-41,57,,
50,100,0,-39,57,,
50,100,0,-41,57,,
50,100,0,-44,58,,
50,100,0,-43,57,,
50,100,0,-44,57,,
50,100,0,-41,57,,
50,100,0,-38,57,,
50,100,0,-43,57,,
50,100,0,-39,57,,
50,100,0,-38,57,,
50,100,0,-39,58,,
50,100,0,-39,57,,
50,100,0,-54,57,,
50,100,0,-46,58,,
50,100,0,-41,58,,
50,100,0,-33,58,,
50,100,0,-39,58,,
50,100,0,-38,58,,
50,100,0,-36,58,,
50,100,0,-44,58,,
50,100,0,-44,58,,
