Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,
50,150,0,-57,61,,,
50,150,0,-63,62,,P,1
50,150,0,-63,62,,I,0
50,150,0,-55,62,,D,0
50,150,0,-54,62,,,
50,150,0,-51,62,,,
50,150,0,-60,62,,,
50,150,0,-60,62,,,
50,150,0,-60,62,,,
50,150,0,-60,62,,,
50,150,0,-58,62,,,
50,150,0,-52,62,,,
50,150,0,-44,62,,,
50,150,0,-43,62,,,
50,150,0,-51,62,,,
50,150,0,-53,62,,,
50,150,0,-46,62,,,
50,150,0,-47,62,,,
50,150,0,-49,62,,,
50,150,0,-49,62,,,
50,150,0,-52,62,,,
50,150,0,-54,62,,,
50,150,0,-54,62,,,
50,150,0,-54,62,,,
50,150,0,-55,62,,,
50,150,0,-46,62,,,
50,150,0,-45,61,,,
50,150,0,-47,62,,,
50,150,0,-43,62,,,
50,150,0,-44,62,,,
50,150,0,-52,62,,,
50,150,0,-55,61,,,
50,150,0,-52,62,,,
50,150,0,-52,62,,,
50,150,0,-56,62,,,
50,150,0,-56,62,,,
50,150,0,-51,62,,,
50,150,0,-49,62,,,
50,150,0,-54,62,,,
50,150,0,-46,62,,,
50,150,0,-45,61,,,
50,150,0,-48,61,,,
50,150,0,-46,62,,,
50,150,0,-41,62,,,
50,150,0,-51,62,,,
50,150,0,-54,62,,,
50,150,0,-54,62,,,
50,150,0,-58,62,,,
50,150,0,-56,62,,,
50,150,0,-51,62,,,
50,150,0,-50,62,,,
50,150,0,-48,62,,,
50,150,0,-53,62,,,
50,150,0,-53,62,,,
50,150,0,-51,62,,,
50,150,0,-60,61,,,
50,150,0,-59,61,,,
50,150,0,-69,62,,,
50,150,0,-66,61,,,
50,150,0,-61,62,,,
50,150,0,-63,62,,,
50,150,0,-60,62,,,
50,150,0,-58,61,,,
50,150,0,-59,61,,,
50,150,0,-64,61,,,
50,150,0,-70,61,,,
50,150,0,-63,61,,,
50,150,0,-69,61,,,
50,150,0,-61,62,,,
50,150,0,-60,61,,,
50,150,0,-61,61,,,
50,150,0,-64,61,,,
50,150,10,-64,61,,,
50,150,10,-63,61,,,
50,150,10,-58,60,,,
50,150,10,-75,43,,,
50,150,10,-4,31,,,
50,150,10,-15,27,,,
50,150,10,-11,24,,,
50,150,10,-1,24,,,
50,150,10,-8,24,,,
50,150,10,-5,24,,,
50,150,10,-4,25,,,
50,150,10,-1,26,,,
50,150,10,-12,26,,,
50,150,10,-4,25,,,
50,150,10,-8,23,,,
50,150,10,-1,24,,,
50,150,10,-12,24,,,
50,150,10,-7,25,,,
50,150,10,-3,25,,,
50,150,10,-3,24,,,
50,150,20,-6,24,,,
50,150,20,-3,24,,,
50,150,20,-8,25,,,
50,150,20,-8,25,,,
50,150,20,-4,26,,,
50,150,20,-3,25,,,
50,150,20,-11,25,,,
50,150,20,-7,25,,,
50,150,20,-12,24,,,
50,150,20,-10,25,,,
50,150,20,-12,24,,,
50,150,20,-9,25,,,
50,150,20,0,25,,,
50,150,20,-2,25,,,
50,150,20,-5,25,,,
50,150,20,-20,26,,,
50,150,20,-14,26,,,
50,150,20,-3,25,,,
50,150,20,-15,24,,,
50,150,20,-17,25,,,
50,150,30,-27,25,,,
50,150,30,-24,25,,,
50,150,30,-7,25,,,
50,150,30,-7,25,,,
50,150,30,-3,25,,,
50,150,30,-7,26,,,
50,150,30,-7,25,,,
50,150,30,-4,23,,,
50,150,30,-4,25,,,
50,150,30,-4,25,,,
50,150,30,-6,25,,,
50,150,30,-12,26,,,
50,150,30,-9,25,,,
50,150,30,-14,26,,,
50,150,30,-13,25,,,
50,150,30,-20,25,,,
50,150,30,-21,25,,,
50,150,30,-1,26,,,
50,150,30,-12,24,,,
50,150,30,-6,24,,,
50,150,0,-7,25,,,
50,150,0,-18,24,,,
50,150,0,-27,24,,,
50,150,0,-33,23,,,
50,150,0,-14,24,,,
50,150,0,-12,24,,,
50,150,0,-29,24,,,
50,150,0,-23,24,,,
50,150,0,-16,24,,,
50,150,0,-33,24,,,
50,150,0,-21,23,,,
50,150,0,-14,25,,,
50,150,0,-26,23,,,
50,150,0,-30,24,,,
50,150,0,-15,23,,,
50,150,0,-10,23,,,
50,150,0,-18,23,,,
50,150,0,-24,22,,,
50,150,0,-41,23,,,
50,150,0,-41,23,,,
50,150,0,-16,23,,,
50,150,0,-16,24,,,
50,150,0,-22,25,,,
50,150,0,-30,25,,,
50,150,0,-46,25,,,
50,150,0,-55,25,,,
50,150,0,-58,25,,,
50,150,0,-61,25,,,
50,150,0,-67,25,,,
50,150,0,-59,26,,,
50,150,0,-58,26,,,
50,150,0,-55,26,,,
50,150,0,-53,26,,,
50,150,0,-66,25,,,
50,150,0,-73,25,,,
50,150,0,-75,25,,,
50,150,0,-81,25,,,
50,150,0,-71,26,,,
50,150,0,-69,25,,,
50,150,0,-69,26,,,
50,150,0,-64,26,,,
50,150,0,-64,25,,,
50,150,0,-73,25,,,
50,150,0,-75,25,,,
50,150,0,-72,25,,,
50,150,0,-69,25,,,
50,150,0,-75,26,,,
50,150,0,-66,25,,,
50,150,0,-60,25,,,
50,150,0,-60,25,,,
50,150,0,-58,25,,,
50,150,0,-67,25,,,
50,150,0,-63,25,,,
50,150,0,-60,26,,,
50,150,0,-63,25,,,
50,150,0,-65,26,,,
50,150,0,-70,25,,,
50,150,0,-68,25,,,
50,150,0,-65,25,,,
50,150,0,-62,26,,,
50,150,0,-71,25,,,
