Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,
50,150,0,-78,8,,,p,1
50,150,0,-81,8,,,i,0.1
50,150,0,-82,8,,,d,0
50,150,0,-81,8,,,,
50,150,0,-83,9,,,,
50,150,0,-91,9,,,,
50,150,0,-72,9,,,,
50,150,0,-78,8,,,,
50,150,0,-82,8,,,,
50,150,0,-74,8,,,,
50,150,0,-89,8,,,,
50,150,0,-78,8,,,,
50,150,0,-81,8,,,,
50,150,0,-82,8,,,,
50,150,0,-76,8,,,,
50,150,0,-88,8,,,,
50,150,0,-95,8,,,,
50,150,0,-84,8,,,,
50,150,0,-84,8,,,,
50,150,0,-84,8,,,,
50,150,0,-78,8,,,,
50,150,0,-78,8,,,,
50,150,0,-81,8,,,,
50,150,0,-79,8,,,,
50,150,0,-56,8,,,,
50,150,0,-78,7,,,,
50,150,0,-82,7,,,,
50,150,0,-79,5,,,,
50,150,0,-83,-2,,,,
50,150,0,-81,-5,,,,
50,150,0,-75,-4,,,,
50,150,0,-79,-3,,,,
50,150,0,-82,0,,,,
50,150,0,-82,2,,,,
50,150,0,-83,2,,,,
50,150,0,-78,3,,,,
50,150,0,-79,3,,,,
50,150,0,-81,3,,,,
50,150,0,-76,3,,,,
50,150,0,-80,3,,,,
50,150,0,-86,3,,,,
50,150,0,-87,3,,,,
50,150,0,-87,3,,,,
50,150,0,-81,3,,,,
50,150,0,-84,3,,,,
50,150,0,-87,3,,,,
50,150,0,-82,3,,,,
50,150,0,-80,3,,,,
50,150,0,-84,3,,,,
50,150,0,-85,3,,,,
50,150,0,-84,2,,,,
50,150,0,-86,2,,,,
50,150,0,-84,2,,,,
50,150,0,-81,3,,,,
50,150,0,-69,3,,,,
50,150,0,-70,3,,,,
50,150,0,-82,3,,,,
50,150,0,-82,3,,,,
50,150,0,-81,3,,,,
50,150,0,-78,3,,,,
50,150,0,-78,3,,,,
50,150,0,-81,3,,,,
50,150,0,-73,3,,,,
50,150,0,-68,3,,,,
50,150,0,-82,2,,,,
50,150,0,-83,3,,,,
50,150,0,-78,3,,,,
50,150,0,-78,3,,,,
50,150,0,-68,3,,,,
50,150,0,-72,2,,,,
50,150,0,-67,3,,,,
50,150,0,-76,3,,,,
50,150,0,-76,2,,,,
50,150,0,-77,2,,,,
50,150,0,-81,2,,,,
50,150,0,-86,3,,,,
50,150,0,-77,3,,,,
50,150,0,-72,2,,,,
50,150,0,-72,2,,,,
50,150,0,-70,2,,,,
50,150,0,-73,2,,,,
50,150,0,-78,2,,,,
50,150,0,-75,3,,,,
50,150,0,-79,3,,,,
50,150,0,-69,3,,,,
50,150,0,-67,3,,,,
50,150,0,-74,3,,,,
50,150,0,-89,2,,,,
50,150,0,-94,2,,,,
50,150,0,-88,2,,,,
50,150,0,-88,2,,,,
50,150,0,-88,3,,,,
50,150,0,-83,3,,,,
50,150,0,-84,3,,,,
50,150,0,-90,2,,,,
50,150,0,-91,2,,,,
50,150,0,-92,2,,,,
50,150,0,-91,2,,,,
50,150,0,-91,2,,,,
50,150,0,-90,2,,,,
50,150,0,-88,2,,,,
50,150,0,-90,3,,,,
50,150,0,-87,3,,,,
50,150,0,-93,2,,,,
50,150,0,-94,2,,,,
50,150,0,-94,2,,,,
50,150,10,-95,2,,,,
50,150,10,-80,2,,,,
50,150,10,-81,2,,,,
50,150,10,-90,16,,,,
50,150,10,-66,22,,,,
50,150,10,-15,24,,,,
50,150,10,-36,25,,,,
50,150,10,-21,25,,,,
50,150,10,-20,26,,,,
50,150,10,-4,24,,,,
50,150,10,-14,25,,,,
50,150,10,-21,26,,,,
