Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,,,,,,,,,,,Column1,Column2
50,150,0,-66,3,,,P,1,,,,,,,,,,,
50,150,0,-66,3,,,I,0.7,,Sent: &_SET_PID_1.0000_0.7000_0.0010_*,,,,,,,,,
50,150,0,-60,3,,,D,0,,Received: &,,,,,,,,,
50,150,0,-52,3,,,,,,Sent: &_SHW_DATA_*,,,,,,,,,
50,150,0,-43,3,,,,,,Received: &_DATA_50.00_150.00_0_-66_3_*,,,,,,,,,
50,150,0,-45,3,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,52.47,25
50,150,0,-50,3,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-50,3,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-58,3,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-63,3,,,,,,Received: &_DATA_50.00_150.00_0_-66_3_*,,,,,,,,48.9,27.35
50,150,0,-51,3,,,,,25.00 *,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-45,3,,,,,25.00 *,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-51,3,,,,,0.001000 *,Received: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-54,3,,,,,0.001000 *,Received control message: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-55,3,,,,,3 *,Received: &_DATA_50.00_150.00_0_-60_3_*,,,,,,,,45.47,30.78
50,150,0,-49,2,,,,,25.00 *,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-52,3,,,,,25.00 *,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-60,3,,,,,0.001000 *,Received: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-65,3,,,,,0.001000 *,Received control message: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-50,3,,,,,3 *,Received: &_DATA_50.00_150.00_0_-52_3_*,,,,,,,,41.88,34.37
50,150,0,-48,3,,,,,25.00 *,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-50,3,,,,,25.00 *,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-55,3,,,,,0.001000 *,Received: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-55,2,,,,,0.001000 *,Received control message: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-55,2,,,,,3 *,Received: &_DATA_50.00_150.00_0_-43_3_*,,,,,,,,38.33,37.92
50,150,0,-47,3,,,,,25.00 *,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-46,3,,,,,25.00 *,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-46,3,,,,,0.001000 *,Received: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-54,3,,,,,0.001000 *,Received control message: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-46,3,,,,,3 *,Received: &_DATA_50.00_150.00_0_-45_3_*,,,,,,,,34.86,41.39
50,150,0,-50,3,,,,,25.00 *,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-51,3,,,,,25.00 *,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-49,3,,,,,0.001000 *,Received: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-46,3,,,,,0.001000 *,Received control message: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-46,3,,,,,3 *,Received: &_DATA_50.00_150.00_0_-50_3_*,,,,,,,,31.44,44.81
50,150,0,-50,3,,,,,25.00 *,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-37,3,,,,,25.00 *,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-44,3,,,,,0.001000 *,Received: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-44,3,,,,,0.001000 *,Received control message: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-46,3,,,,,3 *,Received: &_DATA_50.00_150.00_0_-50_3_*,,,,,,,,30.89,45.36
50,150,0,-50,3,,,,,25.00 *,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-56,3,,,,,25.00 *,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-48,3,,,,,0.001000 *,Received: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-54,2,,,,,0.001000 *,Received control message: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-51,3,,,,,3 *,Received: &_DATA_50.00_150.00_0_-58_3_*,,,,,,,,39.16,37.09
50,150,0,-51,3,,,,,25.00 *,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-47,3,,,,,25.00 *,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-51,3,,,,,0.001000 *,Received: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-55,2,,,,,0.001000 *,Received control message: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-52,3,,,,,3 *,Received: &_DATA_50.00_150.00_0_-63_3_*,,,,,,,,44.94,31.31
50,150,0,-45,3,,,,,25.00 *,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-43,3,,,,,25.00 *,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-55,2,,,,,0.001000 *,Received: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-61,2,,,,,0.001000 *,Received control message: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
50,150,0,-63,2,,,,,3 *,Received: &_DATA_50.00_150.00_0_-51_3_*,,,,,,,,45.6,30.65
50,150,0,-68,2,,,,,25.00 *,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-67,2,,,,,25.00 *,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*,,,,,,,,,
50,150,0,-67,2,,,,,0.001000 *,Received: &_PID_1.000000_0.700000_0.001000_*,,,,,,,,,
