Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-33.0,38.0
50.0,100.0,0.0,-33.0,38.0
50.0,100.0,0.0,-33.0,38.0
50.0,100.0,0.0,-33.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-33.0,37.0
50.0,100.0,0.0,-33.0,37.0
50.0,100.0,0.0,-33.0,37.0
50.0,100.0,0.0,-32.0,37.0
50.0,100.0,0.0,-32.0,37.0
50.0,100.0,0.0,-32.0,37.0
50.0,100.0,0.0,-32.0,37.0
50.0,100.0,0.0,-33.0,37.0
50.0,100.0,0.0,-32.0,39.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-33.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-33.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-31.0,38.0
50.0,100.0,0.0,-31.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-33.0,38.0
50.0,100.0,0.0,-33.0,38.0
50.0,100.0,0.0,-32.0,38.0
50.0,100.0,0.0,-33.0,38.0
50.0,100.0,0.0,-33.0,37.0
50.0,100.0,0.0,-33.0,37.0
50.0,100.0,0.0,-33.0,37.0
50.0,100.0,0.0,-33.0,37.0
50.0,100.0,0.0,-33.0,37.0
50.0,100.0,0.0,-34.0,37.0
50.0,100.0,0.0,-34.0,37.0
50.0,100.0,0.0,-33.0,37.0
50.0,100.0,0.0,-33.0,37.0
50.0,100.0,0.0,-34.0,37.0
50.0,100.0,0.0,-34.0,37.0
50.0,100.0,0.0,-34.0,37.0
50.0,100.0,0.0,-34.0,37.0
50.0,100.0,0.0,-34.0,37.0
50.0,100.0,0.0,-34.0,37.0
50.0,100.0,0.0,-34.0,37.0
50.0,100.0,0.0,-34.0,37.0
50.0,100.0,0.0,-34.0,37.0
50.0,100.0,0.0,-34.0,37.0
50.0,100.0,10.0,-34.0,37.0
50.0,100.0,10.0,-32.0,36.0
50.0,100.0,10.0,-33.0,37.0
50.0,100.0,10.0,-32.0,37.0
50.0,100.0,10.0,-33.0,37.0
50.0,100.0,10.0,-33.0,37.0
50.0,100.0,10.0,-33.0,38.0
50.0,100.0,10.0,-33.0,37.0
50.0,100.0,10.0,-32.0,37.0
50.0,100.0,10.0,-32.0,37.0
50.0,100.0,10.0,-32.0,38.0
50.0,100.0,10.0,-32.0,38.0
50.0,100.0,10.0,-32.0,37.0
50.0,100.0,10.0,-32.0,33.0
50.0,100.0,10.0,-32.0,27.0
50.0,100.0,10.0,-33.0,23.0
50.0,100.0,10.0,-33.0,21.0
50.0,100.0,10.0,-32.0,19.0
50.0,100.0,10.0,-32.0,19.0
50.0,100.0,20.0,-33.0,18.0
50.0,100.0,20.0,-32.0,17.0
50.0,100.0,20.0,-33.0,17.0
50.0,100.0,20.0,-33.0,17.0
50.0,100.0,20.0,-34.0,18.0
50.0,100.0,20.0,-33.0,19.0
50.0,100.0,20.0,-33.0,22.0
50.0,100.0,20.0,-33.0,26.0
50.0,100.0,20.0,-32.0,27.0
50.0,100.0,20.0,-32.0,29.0
50.0,100.0,20.0,-32.0,30.0
50.0,100.0,20.0,-32.0,30.0
50.0,100.0,20.0,-33.0,29.0
50.0,100.0,20.0,-32.0,28.0
50.0,100.0,20.0,-32.0,27.0
50.0,100.0,20.0,-32.0,27.0
50.0,100.0,20.0,-33.0,24.0
50.0,100.0,20.0,-33.0,23.0
50.0,100.0,30.0,-33.0,23.0
50.0,100.0,30.0,-33.0,23.0
50.0,100.0,30.0,-32.0,24.0
50.0,100.0,30.0,-32.0,26.0
50.0,100.0,30.0,-32.0,28.0
50.0,100.0,30.0,-32.0,29.0
50.0,100.0,30.0,-32.0,29.0
50.0,100.0,30.0,-32.0,30.0
