Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,
50,100,0,-10,-1,,P =0.25
50,100,0,-10,-1,,I=0
50,100,0,-7,-1,,D=0
50,100,0,-16,-1,,
50,100,0,-9,-1,,
50,100,0,-25,0,,
50,100,0,-12,0,,
50,100,0,-9,0,,
50,100,0,-17,0,,
50,100,0,-4,-1,,
50,100,0,-7,0,,
50,100,0,-13,0,,
50,100,0,-6,0,,
50,100,0,0,-1,,
50,100,0,-9,0,,
50,100,0,-15,0,,
50,100,0,-15,0,,
50,100,0,-12,0,,
50,100,0,-18,0,,
50,100,0,-12,0,,
50,100,0,-3,0,,
50,100,0,-1,0,,
50,100,0,-7,0,,
50,100,0,-2,0,,
50,100,0,-1,-1,,
50,100,0,-5,-1,,
50,100,0,-7,-1,,
50,100,0,-4,0,,
50,100,0,-1,0,,
50,100,0,-5,-1,,
50,100,0,-3,-1,,
50,100,0,-3,-1,,
50,100,0,-4,-1,,
50,100,0,-10,-1,,
50,100,0,-12,-1,,
50,100,0,-7,-1,,
50,100,0,-9,0,,
50,100,0,-12,-1,,
50,100,0,-6,0,,
50,100,0,-8,0,,
50,100,0,-10,0,,
50,100,0,-12,-1,,
50,100,0,-18,-1,,
50,100,0,-15,-1,,
50,100,0,-12,0,,
50,100,0,-4,0,,
50,100,0,-1,0,,
50,100,0,-9,0,,
50,100,0,-10,-1,,
50,100,0,-15,-1,,
50,100,0,-10,-1,,
50,100,0,-6,-1,,
50,100,0,-6,-1,,
50,100,0,-12,0,,
50,100,0,-6,0,,
50,100,0,-5,-1,,
50,100,0,-2,0,,
50,100,0,-6,0,,
50,100,0,-13,-1,,
50,100,0,-11,0,,
50,100,0,-10,0,,
50,100,0,-9,0,,
50,100,0,-6,0,,
50,100,0,-7,-1,,
50,100,0,-12,-1,,
50,100,0,-10,0,,
50,100,0,-13,0,,
50,100,0,-11,0,,
50,100,0,-4,-1,,
50,100,0,-9,-1,,
50,100,0,-6,-1,,
50,100,0,-4,-1,,
50,100,0,-6,-1,,
50,100,0,-7,-1,,
50,100,0,-7,-1,,
50,100,0,-1,3,,
50,100,0,-8,4,,
50,100,0,-4,6,,
50,100,0,-3,5,,
50,100,0,-15,4,,
50,100,0,-17,4,,
50,100,0,-25,4,,
50,100,0,-10,4,,
50,100,0,-10,5,,
50,100,0,-12,6,,
50,100,0,-27,6,,
50,100,0,-22,5,,
50,100,0,-36,5,,
50,100,0,-35,5,,
50,100,0,-35,5,,
50,100,0,-34,5,,
50,100,0,-27,5,,
50,100,0,-30,5,,
50,100,0,-25,6,,
50,100,0,-22,5,,
50,100,0,-29,5,,
50,100,0,-30,5,,
50,100,0,-40,5,,
50,100,0,-41,5,,
50,100,0,-39,5,,
50,100,0,-33,5,,
50,100,0,-28,6,,
50,100,0,-30,5,,
50,100,0,-36,6,,
50,100,0,-36,5,,
50,100,0,-34,5,,
50,100,0,-36,5,,
50,100,0,-28,5,,
50,100,0,-27,5,,
50,100,0,-25,6,,
50,100,0,-28,6,,
50,100,0,-33,5,,
50,100,0,-37,5,,
50,100,0,-34,6,,
50,100,0,-37,5,,
50,100,0,-33,5,,
50,100,0,-28,5,,
50,100,0,-23,5,,
50,100,0,-27,5,,
50,100,0,-38,5,,
50,100,0,-38,5,,
50,100,0,-39,5,,
50,100,0,-42,5,,
50,100,0,-36,5,,
50,100,0,-33,5,,
50,100,0,-35,5,,
50,100,0,-41,5,,
50,100,0,-38,5,,
50,100,0,-40,5,,
50,100,0,-42,5,,
50,100,0,-36,5,,
50,100,0,-28,5,,
50,100,0,-33,5,,
50,100,0,-30,5,,
50,100,0,-32,5,,
50,100,0,-33,5,,
50,100,0,-35,5,,
50,100,0,-41,5,,
50,100,0,-37,5,,
50,100,0,-28,5,,
50,100,0,-27,5,,
50,100,0,-30,5,,
50,100,0,-18,5,,
50,100,0,-28,5,,
50,100,0,-13,5,,
50,100,0,-9,5,,
50,100,0,-5,5,,
50,100,0,-31,5,,
50,100,0,-31,5,,
50,100,0,-25,4,,
50,100,0,-41,5,,
50,100,0,-33,5,,
50,100,0,-34,4,,
50,100,0,-39,4,,
50,100,0,-38,4,,
50,100,0,-35,4,,
50,100,0,-29,4,,
50,100,0,-7,4,,
50,100,0,-7,4,,
50,100,0,-17,5,,
50,100,0,-27,5,,
50,100,0,-26,5,,
50,100,0,-33,5,,
50,100,0,-24,5,,
50,100,0,-21,5,,
50,100,0,-22,5,,
50,100,0,-17,5,,
50,100,0,-19,5,,
50,100,0,-26,5,,
50,100,0,-33,4,,
50,100,0,-38,5,,
50,100,0,-33,5,,
50,100,0,-17,5,,
50,100,0,-19,5,,
50,100,0,-31,5,,
50,100,0,-38,5,,
50,100,0,-33,5,,
50,100,0,-28,5,,
50,100,0,-30,5,,
50,100,0,-29,5,,
50,100,0,-27,5,,
50,100,0,-33,5,,
50,100,0,-23,5,,
50,100,0,-33,5,,
50,100,0,-35,5,,
50,100,0,-30,5,,
50,100,0,-30,5,,
50,100,0,-24,5,,
50,100,0,-24,5,,
50,100,0,-30,5,,
50,100,0,-27,5,,
50,100,0,-34,5,,
50,100,0,-32,5,,
50,100,0,-32,5,,
50,100,0,-25,5,,
50,100,0,-20,5,,
50,100,0,-21,5,,
50,100,0,-25,6,,
50,100,0,-27,5,,
50,100,0,-33,5,,
50,100,0,-38,5,,
50,100,0,-35,5,,
50,100,0,-30,5,,
50,100,0,-23,6,,
50,100,0,-22,5,,
50,100,0,-18,5,,
50,100,0,-17,5,,
50,100,0,-34,5,,
50,100,0,-30,5,,
50,100,0,-35,5,,
50,100,0,-36,5,,
50,100,0,-30,5,,
50,100,0,-26,5,,
50,100,0,-27,6,,
50,100,0,-24,4,,
50,100,0,-25,4,,
50,100,0,-26,5,,
50,100,0,-34,5,,
50,100,0,-27,5,,
50,100,0,-22,5,,
50,100,0,-18,5,,
50,100,0,-23,5,,
50,100,0,-25,5,,
50,100,0,-38,5,,
50,100,0,-36,4,,
50,100,0,-30,4,,
50,100,0,-27,5,,
50,100,0,-18,4,,
50,100,0,-28,5,,
50,100,0,-24,5,,
50,100,0,-32,5,,
50,100,0,-36,5,,
50,100,0,-33,5,,
50,100,0,-35,5,,
50,100,0,-28,5,,
50,100,0,-22,5,,
50,100,0,-15,5,,
50,100,0,-9,5,,
50,100,0,-3,5,,
50,100,0,-9,5,,
50,100,0,-16,5,,
50,100,0,-12,5,,
