Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,,
50,150,0,-66,3,,,,,
50,150,0,-66,3,,,,P,1
50,150,0,-60,3,,,,I,0.7
50,150,0,-52,3,,,,D,0.001
50,150,0,-43,3,,,,,
50,150,0,-45,3,,,,,
50,150,0,-50,3,,,,,
50,150,0,-50,3,,,,,
50,150,0,-58,3,,,,,
50,150,0,-63,3,,,,,
50,150,0,-51,3,,,,,
50,150,0,-45,3,,,,,
50,150,0,-51,3,,,,,
50,150,0,-54,3,,,,,
50,150,0,-55,3,,,,,
50,150,0,-49,2,,,,,
50,150,0,-52,3,,,,,
50,150,0,-60,3,,,,,
50,150,0,-65,3,,,,,
50,150,0,-50,3,,,,,
50,150,0,-48,3,,,,,
50,150,0,-50,3,,,,,
50,150,0,-55,3,,,,,
50,150,0,-55,2,,,,,
50,150,0,-55,2,,,,,
50,150,0,-47,3,,,,,
50,150,0,-46,3,,,,,
50,150,0,-46,3,,,,,
50,150,0,-54,3,,,,,
50,150,0,-46,3,,,,,
50,150,0,-50,3,,,,,
50,150,0,-51,3,,,,,
50,150,0,-49,3,,,,,
50,150,0,-46,3,,,,,
50,150,0,-46,3,,,,,
50,150,0,-50,3,,,,,
50,150,0,-37,3,,,,,
50,150,0,-44,3,,,,,
50,150,0,-44,3,,,,,
50,150,0,-46,3,,,,,
50,150,0,-50,3,,,,,
50,150,0,-56,3,,,,,
50,150,0,-48,3,,,,,
50,150,0,-54,2,,,,,
50,150,0,-51,3,,,,,
50,150,0,-51,3,,,,,
50,150,0,-47,3,,,,,
50,150,0,-51,3,,,,,
50,150,0,-55,2,,,,,
50,150,0,-52,3,,,,,
50,150,0,-45,3,,,,,
50,150,0,-43,3,,,,,
50,150,0,-55,2,,,,,
50,150,0,-61,2,,,,,
50,150,0,-63,2,,,,,
50,150,0,-68,2,,,,,
50,150,0,-67,2,,,,,
50,150,0,-67,2,,,,,
50,150,0,-65,2,,,,,
50,150,0,-63,2,,,,,
50,150,0,-62,2,,,,,
50,150,0,-55,2,,,,,
50,150,0,-59,2,,,,,
50,150,0,-62,2,,,,,
50,150,0,-62,2,,,,,
50,150,0,-56,2,,,,,
50,150,0,-51,3,,,,,
50,150,0,-46,3,,,,,
50,150,0,-52,2,,,,,
50,150,0,-56,3,,,,,
50,150,0,-63,2,,,,,
50,150,0,-67,2,,,,,
50,150,10,-67,2,,,,,
50,150,10,-60,2,,,,,
50,150,10,-55,0,,,,,
50,150,10,-45,-47,,,,,
50,150,10,-32,-80,,,,,
50,150,10,-13,-92,,,,,
50,150,10,-30,-96,,,,,
50,150,10,-14,-98,,,,,
50,150,10,-36,-97,,,,,
50,150,10,-49,-98,,,,,
50,150,10,-35,-99,,,,,
50,150,10,-39,-98,,,,,
50,150,10,-53,-99,,,,,
